,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2,Dielectric rigidity,Water content,Life expectation,Health index,R1,R2,R3,R4,R5,R6
88,2,21500,47500,2,106,1040,3,0,0,54,4,17.7,48.2,1.0,0.0,0.0,0.0,0.0,9.81132075471698
89,2,14700,44200,2,297,1780,55,0,0,41,14,6.5,48.2,1.0,0.0,0.0,0.0,0.0,5.993265993265993
90,0,5640,71800,17,305,2200,6,41,0,55,6,6.5,48.2,0.0,0.0,0.0,0.0,0.14634146341463414,7.213114754098361
91,0,21900,48300,2,39,1420,3,7,0,56,9,6.5,48.2,0.0,0.0,0.0,0.0,0.42857142857142855,36.41025641025641
92,0,21200,44200,0,91,1520,0,0,0,50,2,31.1,48.2,0.0,0.0,0.0,0.0,0.0,16.703296703296704
93,0,25900,49700,0,22,399,0,0,0,50,4,17.9,48.2,0.0,0.0,0.0,0.0,0.0,18.136363636363637
94,0,22900,45300,0,66,553,0,0,0,53,5,17.9,48.2,0.0,0.0,0.0,0.0,0.0,8.378787878787879
95,0,21800,52500,3,78,2180,9,8,0,56,6,17.9,48.2,0.0,0.0,0.0,0.0,1.125,27.94871794871795
96,0,2220,58800,13,131,1520,4,22,0,52,4,17.9,48.2,0.0,0.0,0.0,0.0,0.18181818181818182,11.603053435114504
97,0,944,58700,6,266,3530,8,11,0,56,4,17.9,48.2,0.0,0.0,0.0,0.0,0.7272727272727273,13.270676691729323
98,0,27000,56600,0,47,480,0,0,0,51,4,17.9,48.2,0.0,0.0,0.0,0.0,0.0,10.212765957446809
99,0,21600,45800,0,204,2750,5,0,0,52,6,17.9,48.2,0.0,0.0,0.0,0.0,0.0,13.480392156862745
100,0,30800,58700,0,98,1740,4,0,0,53,4,17.7,48.2,0.0,0.0,0.0,0.0,0.0,17.755102040816325
101,0,21700,45600,0,198,2250,6,0,0,55,3,31.1,48.2,0.0,0.0,0.0,0.0,0.0,11.363636363636363
102,0,8380,30800,0,23,180,0,0,0,43,7,6.5,48.2,0.0,0.0,0.0,0.0,0.0,7.826086956521739
103,0,27300,55500,0,32,525,0,0,0,40,19,6.5,48.2,0.0,0.0,0.0,0.0,0.0,16.40625
104,0,19300,45700,0,53,481,0,0,0,47,6,6.5,48.2,0.0,0.0,0.0,0.0,0.0,9.075471698113208
105,0,24800,45700,0,81,514,0,0,0,55,5,17.9,48.2,0.0,0.0,0.0,0.0,0.0,6.345679012345679
106,0,22000,44900,0,122,856,8,0,0,52,7,17.9,48.2,0.0,0.0,0.0,0.0,0.0,7.016393442622951
107,0,14300,65700,7,148,1960,3,13,0,51,2,31.1,48.2,0.0,0.0,0.0,0.0,0.23076923076923078,13.243243243243244
108,18,17600,51700,4,231,1610,0,7,0,49,3,31.1,48.2,0.2222222222222222,0.0,0.0,0.0,0.0,6.96969696969697
109,11,1140,63900,7,540,2980,47,0,0,50,36,6.5,48.2,0.6363636363636364,0.0,0.0,0.0,0.0,5.518518518518518
110,16,7340,71000,5,548,3170,5,0,0,45,8,6.5,48.2,0.3125,0.0,0.0,0.0,0.0,5.7846715328467155
111,12,461,54500,3,69,2150,3,8,0,57,7,6.5,48.2,0.25,0.0,0.0,0.0,0.375,31.159420289855074
112,4,624,44500,36,232,2580,3,54,0,56,8,6.5,48.1,9.0,0.0,0.0,0.0,0.05555555555555555,11.120689655172415
113,114,2359,31861,2,144,707,0,0,0,75,28,31.3,47.9,0.017543859649122806,0.0,0.0,0.0,0.0,4.909722222222222
115,81,23790,64479,10,852,1371,0,0,0,74,4,18.8,45.3,0.12345679012345678,0.0,0.0,0.0,0.0,1.6091549295774648
116,67,5940,41600,14,930,4030,0,5,0,50,2,32.0,40.0,0.208955223880597,0.0,0.0,0.0,0.0,4.333333333333333
118,54,1690,27100,8,554,3990,0,3,0,56,2,32.0,38.4,0.14814814814814814,0.0,0.0,0.0,0.0,7.20216606498195
119,44,1735,41280,1,133,520,0,0,0,74,24,32.0,38.3,0.022727272727272728,0.0,0.0,0.0,0.0,3.9097744360902253
120,37,623,20300,21,888,3690,10,10,0,55,3,32.1,38.3,0.5675675675675675,0.0,0.0,0.0,1.0,4.155405405405405
